name,phone
Concept Holidays Sdn. Bhd.,+60 (03) 87390662
Confidence Travel & Tour Sdn. Bhd.,+60 (03) 62572848
Cooserv Travel & Tours Sdn Bhd,+6 (082) 504572
Coral Tours & Limousine Services Sdn Bhd,+60 (07) 3616296
Corporate Information Travel Sdn. Bhd.,+60 (03) 20919988
Cosmic Angle Travel & Tours Sdn Bhd,+06 (03) 91726399
Costa Victoria Travel & Tours Sdn. Bhd.,+60 (016) 9894788
Countryview Recreation Park (Jeram Besu) Sdn. Bhd.,+60 (09) 3230230
Cozy Travel Sdn Bhd,+60 143680959
CPH Travel Agencies (Sarawak) Sdn. Bhd.,+06 (082) 242289
Crimson Travel & Vacation Sdn Bhd,+06 (03) 79830713
Cross Border Travel & Tours Sdn. Bhd.,+60 (03) 88935779
Asia Cathay Travel Sdn. Bhd.,+60 (03) 21425566
Crystal Leisure Holidays Sdn. Bhd.,+6 (07) 8825653
Crystal Leisure Holidays Sdn. Bhd.,+06 (03) 87236836
Crystal Yacht Holiday Sdn. Bhd.,+60 (04) 9556545
CS Yeap Travel & Tours Sdn. Bhd.,+6 (013) 4355582
CT World Holiday & Travel Sdn Bhd,+60 (06) 6037616
Cube Bed Station & Tours Sdn. Bhd.,+6 (089) 784000
D Akina Travel & Tours Sdn Bhd,+60 (13) 9805728
D Arrasyh Travel & Tour Sdn. Bhd.,+60 (5) 4584340
D Asia Travels Sdn. Bhd.,+60 (012) 4250469
D Gaulle Travel & Tours Sdn Bhd,+60 (010) 8001129
D Jones Holidays Sdn Bhd,+6 (03) 77739128
D' Seven Travel & Tours Sdn Bhd,+60 (088) 714177
D Viva Holidays Sdn Bhd,+06 (06) 2822570
D Z Travel & Tours (M) Sdn Bhd,+03 (5524) 0211
D&D Signature Vacation (M) Sdn. Bhd.,+60 (03) 74902277
D.T.C. Travel Sdn Bhd,+60 (03) 21636044
Da Tong Travel Sdn Bhd,+06 (07) 5578228
Daeng Travel & Tours Sdn. Bhd.,+60 (088) 213994
Daily Holidays Sdn Bhd,+6 (03) 61270508
Damar Impex Travel Sdn. Bhd.,+60 (06) 3355209
Danz Travel & Adventures Sdn Bhd,+06 (09) 2664269
Dar At Taqwa Travel & Tours Sdn Bhd,+06 (03) 89127379
Dar Premium Travel Sdn Bhd,+6 (03) 23816904
Daro International Vacation Sdn. Bhd.,+60 (03) 90821489
Darul Mubarak Travel & Tours Sdn Bhd,+06 (05) 3714001
Daun Hijau Travel & Tours Sdn. Bhd.,+60 (03) 42563900
Dayasakti Travel & Tours Sdn. Bhd.,+06 (03) 38850959
Days Holiday Sdn. Bhd.,+60 (06) 9785386
DC Universal Travel & Tours Sdn Bhd,+60 (17) 9838382
DCT Tours Sdn. Bhd.,+60 (04) 7721199
De Apple Travel & Ticketing Services Sdn Bhd,+60 (04) 6110276
De Baron Holidays Sdn Bhd,+06 (04) 9663409
De Kim Tour & Travel (J) Sdn. Bhd.,+06 (07) 3503686
De Lang Resort Tour & Travel Sdn. Bhd,+60 (09) 6267042
De Penarik Beach Travel & Tour Sdn Bhd,+60 (09) 6903669
DE Voyager Global Tour Sdn Bhd,+06 (016) 5214746
Debunga Travel Agent Sdn Bhd,-
Deliver Travel & Tours Sdn Bhd,+60 (03) 92211339
Delleven Travel Network Sdn Bhd,+6 (03) 51764477
Delta Trend Golf & Leisure Holidays Sdn Bhd,+60 (03) 79319311
Deluxe Tours (Johor) Sdn. Bhd.,+60 (07) 3310718
Deluxe Tours (Perak) Sdn. Bhd.,+60 (05) 2537266
Demak Travel Sdn. Bhd.,+60 (082) 414003
Destination Asia Destination Management Sdn Bhd.,+60 (04) 8927378
Destination Explore Sdn Bhd,+60 (03) 21818787
Destinations Of The World (M) Sdn Bhd,+60 (03) 27172600
Destinyasia Tours Sdn Bhd,+006 (012) 2706565
DFF Tour & Travel Sdn Bhd,+06 (07) 8223886
Dhesu Travel & Tours (M) Sdn. Bhd.,+60 (03) 22875525
Dhia Holidays & Tours Sdn Bhd,+06 (03) 78045417
DHKT Travel & Tours Sdn Bhd,+60 (16) 2889313
Dhuha Travel Sdn. Bhd.,+06 (03) 55193031
Diafa Travel Sdn Bhd,+60 (06) 7644494
Dialta Travel & Tours Sdn. Bhd.,+06 (07) 5983677
Diamond Marudu 96 Holiday Travel & Tours Sdn. Bhd.,+60 (11111) 09666
Diethelm Travel (Kota Kinabalu) Sdn. Bhd.,+60 (088) 266353
Airport Tour and Travel Services Sdn. Bhd.,+60 (012) 3778143
Diethelm Travel Malaysia Sdn Bhd,+06 (03) 21611922
Diners World Travel (Malaysia) Sdn. Bhd.,+60 (03) 27120200
Ding Ding Travel Sdn Bhd,+60 (017) 6039110
Directlink Travel & Tours Sdn Bhd,+60 (03) 21669963
Discova DMC (Malaysia) Sdn Bhd,+60 (03) 22673980
Discover Camerons Travel & Tour Sdn Bhd,+60 (019) 5636405
Discover Global Travel & Tours Sdn. Bhd.,+6 (03) 61778608
Discover Orient Holidays Sdn. Bhd.,+60 (03) 21662666
Discover The World Marketing Sdn. Bhd,+06 (03) 27152277
Discover Vacations Sdn. Bhd.,+06 (03) 92819986
Discovery Tours ( Sabah ) Sdn. Bhd.,+60 (088) 257368
Discovery Travel & Cuisine Sdn. Bhd.,+60 (04) 9672263
DKL Tours & Travel (M) Sdn Bhd,+60 (03) 21453777
DMDI Travel & Tours Sdn Bhd,+06 (234) 6555
Doremi Travel & Tours Sdn Bhd.,+06 (09) 7747458
Double Ace Travel & Tours Sdn. Bhd.,+06 (03) 21103046
Downbelow Marine & Wildlife Adventures Sdn Bhd,+06 (088) 488997
Dragon Inn Holidays & Tours Sdn Bhd,+60 (089) 781077
Dream Destination Travel & Tours Sdn Bhd,+60 (03) 27036610
Dream World Tours & Travels Sdn Bhd,+60 (088) 710055
Dreamer's Paradise Travel & Tour Sdn Bhd,+60 (03) 27153235
Dreamland Discovery Sdn Bhd,+6 (088) 731855
Dreamy Island Holidays Sdn. Bhd.,+6 (011) 19070966
DS Adventure Tour Sdn Bhd,+60 (03) 62771628
DSA Travel & Tours Sdn Bhd,+60 (011) 39972906
D'Tour Holiday Sdn. Bhd.,+60 (012) 2009177
Duck Ventures (M) Sdn. Bhd.,+60 (06) 2925595
Duis Dive Sdn.Bhd.,+60 (88) 241177
Dynamic Topgroup Travel Sdn. Bhd.,+60 (085) 452031
Dynamic Tours Travel & Incentive Sdn Bhd,+60 (088) 210600
Dynamic Travel Consultants Sdn. Bhd,+06 (03) 55232513
Dynamics Vacation Sdn. Bhd.,+60 (03) 92832866
Dynasty World Tours & Travels Sdn. Bhd.,+60 (05) 2108862
DZ Siraj Travel & Tours Sdn Bhd,+60 (04) 9661298
E Like Travel & Tours Sdn Bhd,+006 (09) 5135777
E World Choice Travel & Tours Sdn Bhd,+60 (03) 42529898
E.S Travel (M) Sdn. Bhd.,+60 (012) 6366566
Eaga Ocean Sdn Bhd,+60 (089) 758811
Ease Tour & Travel Sdn. Bhd.,+60 (05) 2552366
East Coast Adventure Travel & Tours Sdn. Bhd.,+60 (07) 2448088
East Marine Holidays Sdn. Bhd.,+06 (04) 9663966
Easy Europe Holidays Sdn Bhd,+60 (03) 64193520
Easybook (M) Sdn. Bhd.,+60 (04) 3139090
Easyway Holidays Sdn. Bhd.,+06 (03) 89455124
E-Borneo.Com Tours & Travel Sdn. Bhd.,+60 (088) 744212
Ebot Ebot Sipadan Travel & Tours Sdn Bhd,-
Eco Tours Asia Sdn Bhd,+60 (04) 2278668
Eco-Coach & Tours (M) Sdn.Bhd.,+60 (04) 2278668
Economy Travel & Tours Agency Sdn Bhd,+60 (03) 21619030
Ecopenang Tour Sdn. Bhd.,+6 (04) 5011226
Ed Holidays Travel & Car Rental Sdn Bhd,+60 (016) 8397143
Edaran Travel & Tours Sdn. Bhd.,+06 (07) 2373066
Eden Tours & Travel Sdn. Bhd.,+06 (03) 21483880
Efa Nur Travel & Tours Sdn Bhd,+6 (017) 6843821
Einterex Travel And Tours Sdn.Bhd.,+60 (03) 21660950
EJ Footsteps Travels Sdn. Bhd.,+60 (088) 270227
El Fateh Emerald Travel & Tours Sdn Bhd,+06 (03) 55232992
El Sol Travel & Tours Sdn. Bhd.,+06 (03) 79844560
Ela Leisure & Adventure Sdn Bhd,+60 (3) 42518332
Emery Tours & Travel Sdn Bhd,+60 (03) 92056081
Emma Glorious Tours & Travel Sdn Bhd,+60 (087) 423688
Emperor Travel Sdn Bhd,+06 (03) 62854899
Empire Hornbill Travel And Tour Sdn Bhd,-
Emraz Travel & Tours Sdn Bhd,+60 (03) 88935444
Emzed Travel & Tours Sdn. Bhd.,+60 (03) 77831061
Energy Holidays Sdn Bhd,+60 (03) 91349773
Enesty Travel & Tours Sdn. Bhd.,+60 (03) 79847517
Enjoy Holiday Tour Sdn Bhd,+6 (07) 3332873
Enrich Travelogue Sdn Bhd,+06 (03) 41628179
EOS Travel Sdn Bhd,+60 (07) 3362949
Epta Car Rental & Tours Sdn Bhd,-
Era Amazing Travel & Tours Sdn Bhd,+60 (011) 63273837
Era Holidays Sdn Bhd,-
Era Suria Holiday Travel & Tours Sdn Bhd,+6 (016) 2090316
Eramaz Travel Services Sdn Bhd,+60 (03) 20202266
Erwin Travel & Tours Sdn Bhd,+60 (07) 3553444
Esplanad Holiday Sdn Bhd,+60 (3) 91736300
ETD Tours & Travel Sdn Bhd,+60 (014) 7048988
Eternal East Travel & Tours Sdn. Bhd.,+60 (04) 2298819
Etika Mawar Tour and Travel Sdn. Bhd.,+60 (017) 6699400
Eton Tours And Travel Sdn. Bhd.,+06 (03) 80621188
Eugene Holiday Sdn. Bhd,+06 (088) 265788
Euro Rent A Car Sdn. Bhd.,+60 (12) 2381769
Evellie Cruise Adventure Sdn Bhd,-
Ever Sun Tour & Travel Sdn. Bhd.,+06 (088) 703780
Evergreen Holidays Sdn. Bhd.,+006 (012) 9485566
Everyworld Travel & Tours Sdn Bhd,+60 (03) 91335126
Evlu Tours & Travel Sdn Bhd,+60 (03) 78903922
EVS Travel & Tours Sdn Bhd,+6 (03) 21432439
Excel Dream Travel & Tours Sdn. Bhd.,+6 (013) 8154155
Excellence Eco Tours Services Sdn Bhd,+6 (088) 201534
Excellent Borneo Rent A Car Tour & Travel Sdn Bhd,+06 (017) 8180400
Excelsior Travel & Tours (M) Sdn. Bhd.,+60 (03) 20707264
Exciting Outing Travel & Tours Sdn. Bhd.,+06 (03) 42702888
Executive Travel & Tours (M) Sdn. Bhd.,+60 (07) 2240063
Executive Travel Agencies Sdn Bhd,+60 (85) 414200
Exo Travel Malaysia Sdn Bhd,+60 (088) 278718
Exotic Asia Holidays Travel & Tours Sdn Bhd,+60 (03) 92027033
Exotic Asian Explorer (Borneo) Sdn. Bhd.,+06 (088) 222608
Exotic Borneo Sdn. Bhd.,+60 (088) 313234
Experts Travel & Tours Sdn. Bhd.,+60 (06) 7635514
Explorasi Cinta Travel & Tours Sdn Bhd,+6 (03) 4144487
Explore Asia Tours Sdn. Bhd.,+60 (88) 486389
Explorer Tourism Network Sdn Bhd,+60 (03) 21440009
Explotour Holiday Sdn Bhd,+6 (09) 7745555
Eye M Hear Holidays Sdn. Bhd.,+60 (03) 51030023
EZ n Fun Holidays Sdn Bhd,+60 (010) 9008499
EZE Travel Sdn Bhd,+60 (03) 21433217
Ezigo Holiday Sdn Bhd,+60 (03) 87059899
EZT Tours & Travel Sdn Bhd,+60 (03) 90555018
Eztrip Global Travel Sdn Bhd,+60 (0) 102208327
Ezz Travel Sdn. Bhd.,+06 (07) 9316601
Fa Izin International Travel &Tours Sdn.Bhd.,+60 (03) 92811411
Faaz Tour & Travel Sdn Bhd,+60 (010) 3656158
Fairys Holiday Sdn Bhd,+60 (03) 62803188
Faith Tours & Travel Sdn. Bhd.,+06 (07) 3334718
Falcon Travel & Tours Sdn. Bhd.,+60 (03) 92831080
Falcon Traversal Sdn Bhd,+60 (03) 22872252
Fantasia Holidays Sdn Bhd,+60 (03) 90748699
Fantasia Travel and Tours Sdn. Bhd.,-
Fantastic Dreams Vacation Sdn Bhd,+60 (3) 62743988
Far East Travel Centre Sdn. Bhd.,+60 (03) 42602811
Fat Cat Tours Sdn. Bhd.,+60 (088) 752604
Fawwaz Travel & Tours Sdn Bhd,+60 (03) 40500957
FD Gemilang Travel & Tours Sdn Bhd,+60 (07) 7771212
Feature Tour Sdn Bhd,+06 (03) 92055228
Felda Travel Sdn Bhd,+60 (03) 27891133
Feng Hong (MM2H) Sdn. Bhd.,+6 (04) 8992721
Festive Travels Sdn. Bhd.,+60 (03) 26929199
Fieldskills Adventures Sdn Bhd,+60 (088) 416330
Firdaus Travel & Tours Sdn Bhd,+6 (03) 42522405
Firsha Travel & Tours Sdn Bhd,+60 (04) 5224412
First Choice Travel & Tours Sdn. Bhd.,+60 (88) 219881
First Classic Travel Services Sdn Bhd,+60 (087) 423088
First Tour KK Sdn. Bhd.,+006 (088) 448225
First Travel And Tours (M) Sdn Bhd,+60 (03) 79555601
First Travel Service (Perak) Sdn. Bhd.,+60 (05) 2549225
Five A Travel Tours Sdn Bhd,+006 (04) 2642676
Five Estec Travel Services Sdn Bhd,+60 (03) 91002101
Five Star Holidays & Tours Sdn Bhd,+60 (12) 3242071
Five Stars Tours Sdn. Bhd.,+60 (03) 21453166
Five Stars Travel Sdn Bhd,+06 (03) 21101169
Flexi Car Rental Sdn Bhd,-
Flight Centre Travel Group (Malaysia) Sdn Bhd,+60 (03) 22673800
Flightingale Holidays Sdn Bhd,+60 (03) 20224466
Flora Place Travel & Tours Sdn. Bhd.,+60 (09) 7473266
Floral Holidays & Tours Sdn. Bhd.,+60 (12) 2623557
Fly & Leisure Tours Sdn. Bhd.,+60 (07) 6995766
Fly Hub Travel Sdn Bhd,+60 (03) 21103570
Focus Travel Sdn. Bhd.,+6 (04) 2610895
Forever Leisure Sdn Bhd,+60 (03) 79800795
Forever Spring Tour & Travel Sdn. Bhd,+60 (07) 5208728
Forever Travel Service Sdn. Bhd.,+60 (04) 2266633
Formal Travel Services (M) Sdn Bhd,-
Four Directions Holidays Sdn Bhd,+60 (03) 26021771
Four Ocean Vacation Sdn Bhd,+06 (012) 3200826
FQD Travel & Tours Sdn Bhd,+60 (03) 90548929
Frangipani Tours & Transportation Sdn. Bhd.,+60 (03) 77262288
Free To Fly Travel Sdn Bhd,+60 (12) 4779734
Friendship Holidays Sdn. Bhd.,+06 (04) 2271251
FSV Worldwide Tour & Travel Sdn Bhd,+60 (12) 3674424
FT Travel Services Sdn Bhd,+60 (085) 438415
FTG Vacation Sdn Bhd,+60 (17231) 2710
FTZ Travel & Tours Sdn. Bhd.,+60 (04) 6431313
Fuego Travel & Tours Sdn.Bhd.,+60 (03) 21666068
Fuji Car Rental & Travel Sdn Bhd,+06 (085) 433336
Fulham Tours Sdn. Bhd.,+06 (05) 8073069
Fun & Sun Holidays Sdn Bhd,+06 (03) 21412220
Fun Sabah Tours Sdn Bhd,+60 (88) 238722
Funholiday Tours & Travel Sdn Bhd,+60 (088) 250093
Fusanta Transport Travel  & Tour Sdn. Bhd.,+60 (082) 415539
Future Group Tour & Travel Sdn Bhd,+601 (09341) 669
Fuze Ecoteer Outdoor Adventures Sdn Bhd,-
G Luxury Tour Sdn Bhd,+60 (16) 3899978
G.L. Leisure Travel & Tours Sdn Bhd,+06 (06) 3122155
G.S. Travel & Tours Sdn. Bhd.,+60 (03) 26923271
Gaharu Tea Valley ( Gopeng ) Tour Sdn Bhd,+60 (05) 3511999
Gajaholiday Sdn Bhd,+06 (013) 8643177
Galaxy Rizq Travel Sdn. Bhd.,+60 (03) 55129001
Gamechanger Travel And Tours Sdn Bhd,+60 (03) 41474033
Gana Borneo Tours Sdn Bhd,+06 (013) 2862511
Ganesh Travel Agencies Sdn Bhd,+60 (03) 26926378
Ganeson Travel & Tours Sdn Bhd,+06 (06) 4544950
Gato Tour & Travel Sdn. Bhd.,+06 (03) 21661058
GB Getaway Travel & Tours Sdn Bhd,+60 (03) 78481111
GB Global Rent A Car & Tours Sdn Bhd,+6 (088) 301615
GCR Travel & Tourism Sdn Bhd,+60 (11) 11806562
GDR Travel & Tours Sdn. Bhd.,+60 (03) 26975889
Fat Cat Tours Sdn. Bhd.,+60 (088) 752604
Gemilang Travel & Tours Sdn. Bhd.,+60 (03) 42564133
Generation Habema Travel & Tours Sdn. Bhd.,(012) 4069804
Geopark Holidays Sdn Bhd,+60 (04) 9669005
Georgetown Transport & Tourist Service Sdn. Bhd.,+60 (04) 2295788
Gerbang Majuindah Travel Agency Sdn Bhd,+6 (05) 4666500
GFT Travel & Tours Sdn Bhd,(05) 2433818
Ghani Generation Travel Holidays Sdn. Bhd.,+6 (011) 55043929
GISB Travel & Tours Sdn Bhd,+60 (03) 67331303
Gito Translink Travels Sdn Bhd,+60 (03) 56326808
GL Asia Adventure Tours Sdn. Bhd.,+60 (016) 7157912
GL Travel Sdn. Bhd.,+60 (03) 33429877
Glamping Park Travel and Tour Sdn Bhd,+60 (13) 2408857
Glam's Transport & Travel Sdn Bhd,+6 (088) 772470
GLH Holidays Sdn. Bhd.,+6 (04) 3101888
Global Alliance Travel Services Sdn Bhd,+60 (12) 9138960
Global GS Travel & Tours Sdn Bhd,-
Global Ideal Travel & Tours Sdn Bhd,+06 (03) 77253311
Global Journey Travel & Tours Sdn Bhd,+60 (07) 3332218
Global Lepa Car Rental & Tours Sdn. Bhd.,+60 (88) 280137
Global Link Educational Tour Sdn. Bhd.,+60 (03) 62774388
Global Marque Holidays Sdn Bhd,+06 (03) 61422036
Global Net Travel Sdn. Bhd.,+60 (05) 2537266
Global Rove Sdn Bhd,+60 (18) 6613115
Global Tour Management Sdn Bhd,+06 (03) 21711802
Global View Travel (M) Sdn Bhd,+60 (03) 21487332
Globalite Travel & Tours (M) Sdn Bhd,+60 (03) 56380698
Globalone Assist Travel Sdn Bhd,+6 (03) 20223622
Glocal Link Travel & Tours Sdn Bhd,+60 (03) 62110790
Glocal Travel & Tours Sdn. Bhd.,+60 (03) 41084588
GM Travel House (M) Sdn Bhd,+603 (20700) 800
GMC Travel & Tours Sdn. Bhd.,+60 (03) 92856676
Go & Away Travel Tourism Sdn. Bhd.,+6 (03) 21667977
Go Adventure Sdn. Bhd.,(088) 266955
Go Asia Diving Sdn Bhd,+60 (3) 67300069
Go Borneo Tours & Travel Sdn Bhd,+60 (016) 8269579
Go City Travel & Tours Sdn Bhd,+60 (04) 8284928
Go Go Sababah Leisure Sdn Bhd,0198803840
Go Holiday 360 Sdn Bhd,+60 (012) 9688996
Go Tranet Holiday Sdn Bhd,+60 (03) 33439898
Go Travel Zone Sdn Bhd,+60 (3) 79876876
Goal Travel & Tours Sdn Bhd,+60 (03) 21816899
Gofun Travel & Tour Sdn Bhd,+6 (016) 8501800
Going Places Tour Sdn. Bhd.,+60 (03) 20784008
Gold Asia Travels Sdn Bhd,+60 (03) 64118084
Golden Adventure Tours & Travel Sdn Bhd,+6 (03) 79604733
Golden Borneo Travel Sdn. Bhd.,+60 (16) 8041228
Golden Century Tour & Travel Sdn Bhd,+06 (05) 2535333
Golden Deluxe Travel Service Agency Sdn. Bhd.,+06 (03) 21446888
Golden Dreams Travel & Tours Sdn Bhd,+60 (03) 67312525
Golden First Travel & Tours (M) Sdn Bhd,+60 (04) 5388888
Golden Inn Holidays Sdn. Bhd.,+60 (012) 2206570
Golden Kite Destination Sdn Bhd,+60 0193123563
Golden Signature Travel & Tours Sdn Bhd,+04 (04) 7300799
Golden Sky Tour & Travel Sdn Bhd,+60 (03) 90553337
Golden System Car Rental & Tours Sdn Bhd,+06 (082) 333609
Focus Travel Sdn. Bhd.,+6 (04) 2610895
DCT Tours Sdn. Bhd.,+60 (04) 7721199
Golden Times Travel & Tours Sdn Bhd,+60 (082) 530531
Golden Tourworld Travel (M) Sdn. Bhd.,+60 (03) 21187288
Golden Tropics Travel & Tours Sdn. Bhd.,+60 (03) 91746888
Golden World Travel & Tours Sdn Bhd,+6 (04) 3327867
Golden Worldwide Travel And Tour (M) Sdn Bhd,+60 (3) 80804166
Goldenbell Travel Sdn Bhd,+60 (03) 62010608
Gomaldives Holiday Sdn Bhd,+6 (016) 4899967
Good Country Tours & Travel Sdn. Bhd.,+60 (088) 438669
Good Earth Travel & Tour Sdn Bhd,+06 (088) 739888
Good Morning Holidays Sdn. Bhd.,+60 (012) 2787868
Good Service (MM2H) Sdn Bhd,+60 (88) 223269
Good Shepherd Adventures Sdn Bhd,+60 (07) 3549785
Good Times Travel Sdn Bhd,+60 (082) 252022
Good Vacations Travel Agency Sdn Bhd,+6 (088) 233709
Good-Day Travel & Tours Sdn Bhd,+60 (016) 2881000
Gopi Travel Tours Sdn Bhd,+6 (06) 4929433
Gotz Travel & Tours Sdn. Bhd.,+06 (03) 77270585
Goxplore Holiday Sdn Bhd,+6 (04) 8900362
GP Global Travel & Tours Sdn. Bhd.,-
GPA Travel & Tours Sdn Bhd,+06 (03) 87374048
GPS Tours And Car Rental Sdn. Bhd.,+6 (088) 266025
GPS Travel Sdn Bhd,+6 (016) 7710596
Grand Central Trans-Services Sdn. Bhd.,+60 (03) 26988999
Grand Dive Travel & Tours Sdn Bhd,+06 (012) 8626096
Grand Holidays Travel & Tours Sdn. Bhd.,+6 (03) 77252822
Grand Leisure Travel & Tours Sdn Bhd,+6 (03) 42786859
Grand Line Tours & Travel Sdn Bhd,+60 (89) 785878
Grand Times Tours & Travel (K.K) Sdn. Bhd.,+06 (088) 234818
Grandlotus Travel Agencies Sdn. Bhd.,+60 (03) 26918866
Great Holiday Travel Sdn. Bhd.,+60 (084) 348196
Great Leap Tours Sdn. Bhd.,+60 (82) 457181
Great Ocean Travel & Tours Sdn. Bhd.,+60 (019) 7777902
Great Vision Travel Sdn Bhd,+60 (07) 2222220
Greatown Travel Sdn. Bhd.,+60 (84) 211243
Greatview Holidays Sdn Bhd,+60 (04) 2286612
Green Adventure Holidays Sdn Bhd,+60 (03) 42704027
Green Eco Tours & Travel Sdn Bhd,+60 (088) 274101
Green Holiday Sdn. Bhd.,+60 (088) 211130
Green Island Travel & Tours Sdn Bhd,(089) 774479
Green Planet Holidays Sdn Bhd,+60 (03) 42879996
Green Trekkers Sdn. Bhd.,+60 (03) 89226000
Green World Travel & Tours Sdn Bhd,+60 (03) 31818802
Greenleaf Holidays And Tours Sdn. Bhd.,+06 (09) 2672131
GSI Travel Sdn. Bhd.,+06 (03) 77288616
GSS Rose Tours & Travels Sdn Bhd,+006 (18) 9454316
GTC Travel & Tours Sdn Bhd,+60 (03) 42702299
GTS Travel Service Sdn. Bhd.,+06 (089) 775672
GTT Travel & Tour Sdn. Bhd.,+60 (03) 26926737
H & M FAM Travel & Tours Sdn Bhd,+60 (088) 766177
H Travel Sdn Bhd,+60 (03) 21102795
H.I.S Travel (Malaysia) Sdn. Bhd.,+60 (03) 21421588
H.T.T. Travel (M) Sdn. Bhd.,+06 (03) 20788366
Haanusha Travel & Tour Agency Sdn Bhd,+06 (03) 33263206
Habanna Rent A Car & Tours (M) Sdn Bhd,+60 (06) 6337499
Haha Holiday Sdn Bhd,+60 (12) 5211331
Hajana Travel & Tours Sdn Bhd,+60 (03) 30058010
Hamra Unggul Travel & Tours Sdn. Bhd.,+60 (04) 4476528
Haneen Travel & Tours Sdn Bhd,+60 (03) 92866607
Hanz Travel And Tours Sdn. Bhd.,+60 (03) 89455507
Happy Family Travel Sdn. Bhd.,+60 (3) 27328950
Happy Holiday Travel Sdn. Bhd.,+6 (084) 339039
Happy Holidays Sdn. Bhd.,+60 (04) 2636666
Happy Trails Borneo Tours Sdn. Bhd.,+6 (085) 321455
Happy Trails Malaysia Tours Sdn Bhd,+06 (03) 21631899
Happy Travel & Tour Sdn Bhd,+60 (06) 3191464
HappyShuttle Travel & Tours Sdn Bhd,+006 (017) 9897755
Haqim Holidays & Tours Sdn Bhd,+06 (06) 5236057
Harmony Excellence Holidays Sdn Bhd,+60 (03) 41428817
Haro Adventure Sdn Bhd,+60 (3) 62015755
Harpers Tours (Malaysia) Sdn Bhd,+60 (03) 79471368
Harpers Travel (Malaysia) Sdn Berhad,+60 (03) 79471300
Harrisons Travel Sdn Bhd,+60 (087) 408096
Harvest Holidays Sdn. Bhd.,+006 (088) 317378
Hasani Travel & Tours (M) Sdn Bhd,+06 (04) 4228222
HATA Travel & Tours Sdn. Bhd.,+60 (03) 21486666
Hawk Rent A Car (M) Sdn Bhd,+6 (03) 80842299
Heart Of Borneo Tours & Travel Sdn Bhd,+60 (085) 612228
Heerah Travel & Tours Sdn Bhd,+60 (03) 40500957
Hello Borneo Tours & Travel Sdn Bhd,+013 (8888) 726
Hello Holidays Sdn. Bhd.,+60 (03) 62016888
Heng Kong Travel & Tours Sdn Bhd,+60 (16) 8330398
SMAS Travels Sdn. Bhd.,+06 (03) 22722000
Heritage Travel & Tours Sdn. Bhd.,+6 (03) 92055630
Hero Golf & Leisure (M) Sdn Bhd,+60 (03) 41423310
HGG Tour Connections Sdn Bhd,+06 (07) 5996996
Hibiscus Holidays Sdn Bhd,+60 (03) 21621201
Hibiscus Travel & Tours Sdn. Bhd.,+60 (03) 92056123
Hi-Fly Travel & Tours Sdn Bhd,+60 (04) 7305124
Hi-Fly Travel & Tours Sdn Bhd,+60 (04) 7305124
High Country Tours Sdn. Bhd.,+6 (088) 889488
High Maas Tour & Travel Sdn Bhd,+6 (03) 91070555
Highlight Travel & Tours Sdn Bhd,+06 (03) 33712254
Hijau Ad Ventures Sdn Bhd,+6 (016) 9667333
Hijrah Sufi Travel & Tours  Sdn Bhd,+06 (019) 9102112
Hike Asia Travel Sdn Bhd,+60 (016) 8010819
HIO Travel Agency Sdn Bhd,+006 (03) 90824331
Hi-Q Holidays Sdn Bhd,+60 (03) 76284563
HJS Travel & Tour Sdn Bhd,+60 (06) 7203333
Ho Wah Genting Holiday Sdn Bhd,+60 (03) 21416422
Hock Liong Travel Service Sdn Bhd,+06 (084) 871551
Holiday Adventure Tours & Travel Sdn. Bhd.,+60 (016) 4970142
Holiday Asia Network Sdn. Bhd.,+06 (03) 42912163
Holiday Century Travel & Tours Sdn Bhd,+60 (03) 42931118
Holiday Link Sdn Bhd,+60 (03) 33240008
Holiday Planner & Tours Sdn Bhd,+60 (03) 27227166
Mayflower Car Rental Sdn Bhd,+06 (03) 62531888
Holiday Tours & Travel Sdn Bhd,+6 (07) 3308889
Holiday Tours & Travel Sdn. Bhd.,+60 (04) 2382747
Holiday Tours & Travel Sdn. Bhd.,+60 (03) 62866000
Homes Travel & Tours Sdn Bhd,+06 (05) 2539808
Honest Tours & Travel Sdn. Bhd.,+60 (05) 5412606
Honey Holidays (M) Sdn. Bhd.,+60 (03) 21414911
Honey Vacation Travel & Tours Sdn. Bhd.,+60 (03) 56136730
Honeyzone Travel & Tours Sdn. Bhd.,+60 (04) 9557732
Hong Tai Travel Agency Sdn. Bhd.,+60 (082) 521220
Hong Thai Tours & Travel (M) Sdn Bhd,+60 (03) 21488448
Hong Yi Holidays Sdn. Bhd.,+60 (07) 8822998
Horizon Borneo Travel & Tours Sdn Bhd,+6 (088) 733248
Horizon Holidays Sdn Bhd,+60 (03) 62035055
Hornbill Tours & Car Rental Sdn Bhd,+60 (082) 343489
Hornbill Travel Agency Sdn Bhd,+06 (085) 417385
Hoye Holidays Sdn. Bhd.,+6 (04) 5403328
HR Holidays Sdn Bhd,+60 (03) 42521010
HTC Travel Services (M) Sdn. Bhd.,+60 (03) 92222255
Hua Chiong Travel Service Sdn Bhd,+60 (084) 796484
Hunda Travel Services Sdn. Bhd.,+60 (086) 331339
Hussien Ali Transport & Travel (M) Sdn. Bhd.,+60 (07) 8832998
HVB Network & Travel Sdn. Bhd.,+60 (05) 6203789
